Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
UNIFORM (Gift Voucher /Marketing(Mail)/Reports(Marketing Report),UGV-1,10034,,Epic,In Progress,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 7:33 AM,08/Sep/21 11:24 AM,08/Sep/21 11:23 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,UGV-20,UGV-26,,,,,,,{},ghx-label-5,,Gift voucher ,To Do,,,0|i0006v:,,UGV Sprint 1,,,,,,,,,,In Progress
USER IS ABLE TO LOGIN WITH BLANK,OL-5,10033,,Bug,To Do,OL,OLA69,software,Rohan bbx,612ef783be9e4d0069575b94,,High,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 4:55 PM,01/Sep/21 4:55 PM,01/Sep/21 4:55 PM,,,0,"user navigate app , after not giving credentisld user is able to login
",chrome43,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,OL-4,,,,,,,,,{},,,,,,,0|i0006n:,,,,,,,,,,,,To Do
verify with blank input,OL-4,10032,,Test,In Progress,OL,OLA69,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 4:29 PM,01/Sep/21 4:55 PM,01/Sep/21 4:34 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,OL-2,,,,,,,,,{},,,,,,,0|i0006f:,,OL69 Sprint 1,,,,,,,,,,In Progress
verify with special character,OL-3,10031,,Test,In Progress,OL,OLA69,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 4:23 PM,01/Sep/21 4:39 PM,01/Sep/21 4:24 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,OL-2,,,,,,,,,{},,,,,,,0|i00067:,,OL69 Sprint 1,,,,,,,,,,In Progress
As a user i want to login to my valid email  credential so that i can navigate to dashboard,OL-2,10030,,Story,In Progress,OL,OLA69,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 4:19 PM,01/Sep/21 4:39 PM,01/Sep/21 4:34 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,OL-1,,,,,,,,,{},,,,,,,0|i0005z:,,OL69 Sprint 1,,,,,,,,,,In Progress
As a user i want to login to my valid credential so that i can navigate to dashboard,OL-1,10029,,Epic,To Do,OL,OLA69,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 4:17 PM,01/Sep/21 4:20 PM,01/Sep/21 4:33 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},ghx-label-4,,contact us page,To Do,,,0|i0005r:,,,,,,,,,,,,To Do
verify with decimal numbers,OLA1-10,10028,,Test,To Do,OLA1,OLA1,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 12:21 PM,01/Sep/21 12:21 PM,01/Sep/21 12:21 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0004j:,,,,,,,,,,,,To Do
verify with given range,OLA1-9,10027,,Test,To Do,OLA1,OLA1,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 12:20 PM,01/Sep/21 12:20 PM,01/Sep/21 12:20 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005j:,,,,,,,,,,,,To Do
verify with blank input,OLA1-8,10026,,Test,To Do,OLA1,OLA1,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 12:20 PM,01/Sep/21 12:20 PM,01/Sep/21 12:20 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005b:,,,,,,,,,,,,To Do
verify with valid input,OLA1-7,10025,,Test,To Do,OLA1,OLA1,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,01/Sep/21 12:19 PM,01/Sep/21 12:19 PM,01/Sep/21 12:19 PM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00053:,,,,,,,,,,,,To Do
